1	山田　太郎	151-0011	東京都新宿区下落合	03-0000-0000	03-0000-0001	tarou@xxx.net	1974/5/30	M	4	5	大学工学部	1700	20030407	20030409	20030409
7	山田　太郎	135		03-0000-0000	00000000	yamada@com		M	1				20030410	20030704	
8	川崎　洋子		Tokyo Japan					F	4				20030410	20030703	20030703
9	千葉　健太郎		Tokyo Japan	030303				M	4				20030410	20030818	
10	山口　美香							F	4				20030410	20030410	20030414
11	京沢　雄二							M	4				20030410	20030410	
12	越後　太一							M	1				20030410	20030704	
13	長谷川　健太							M	4				20030410	20030704	
14	田口　里奈							F	4				20030410	20030410	
15	福本　詩織							F	4				20030410	20030410	
16	山崎　昇							M	4				20030410	20030410	
17	山口　美香							F	1				20030414	20030708	
24	山田　太郎	151-0011	東京都新宿区下落合××ー××	03-0000-0000	03-0000-0001	tarou@xxx.net	1974/5/30	M	1	5	○○大学工学部情報工学科卒業	1800	20030616	20030704	
25	Grady Booch	262	United States	080	090	booch@	1957	M	5	30	Uni	2000	20030704	20030704	
